filename,predicted_class,label,class_0_prob,class_1_prob,class_2_prob,var_x,var_y,var_z,linearity,planarity,anisotropy,ex,ey,ez,bbox_maxmin,bbox_midmin,axis_bending,num_boundaries,genus,is_hollow
chair_001_01.obj,0,0,0.9998,0.0002,0.0,0.9836,0.0125,0.0039,0.0164,0.0039,254.5829,40.5934,131.5662,533.8527,13.1512,3.2411,0.0002,0.0,0.0,0.0
chair_001_02.obj,0,0,1.0,0.0,0.0,0.9959,0.0033,0.0008,0.0041,0.0008,1304.7329,40.0278,670.026,20.5388,32.6224,1.9489,0.0,0.0,0.0,0.0
chair_001_03.obj,0,0,1.0,0.0,0.0,0.9941,0.0048,0.0011,0.0059,0.0011,909.3314,40.0184,559.2584,20.6925,27.0271,1.934,0.0,0.0,0.0,0.0
chair_001_04.obj,0,0,0.9998,0.0002,0.0,0.9836,0.0125,0.0039,0.0164,0.0039,254.5829,40.5934,131.5662,533.8527,13.1512,3.2411,0.0002,0.0,0.0,0.0
chair_001_05.obj,0,0,1.0,0.0,0.0,0.9959,0.0033,0.0008,0.0041,0.0008,1304.7329,40.0278,670.026,20.5388,32.6224,1.9489,0.0,0.0,0.0,0.0
chair_001_06.obj,0,0,1.0,0.0,0.0,0.9941,0.0048,0.0011,0.0059,0.0011,909.3314,40.0184,559.2584,20.6925,27.0271,1.934,0.0,0.0,0.0,0.0
chair_001_07.obj,0,0,0.9996,0.0004,0.0,0.9934,0.0055,0.0011,0.0066,0.0011,896.9074,520.0104,40.07,19.8552,26.1902,2.0181,0.4998,0.0,0.0,0.0
chair_001_08.obj,0,0,1.0,0.0,0.0,0.9919,0.0065,0.0015,0.0081,0.0015,657.0543,20.1814,479.1276,165.0704,23.741,8.1793,0.0,0.0,0.0,0.0
chair_001_09.obj,0,0,1.0,0.0,0.0,0.9919,0.0065,0.0015,0.0081,0.0015,657.0546,20.1814,479.1276,165.0704,23.7411,8.1793,0.0,0.0,0.0,0.0
chair_001_10.obj,0,0,0.9996,0.0004,0.0,0.9924,0.0062,0.0015,0.0076,0.0015,678.2199,480.0381,29.312,43.5391,16.3768,1.4854,0.497,0.0,0.0,0.0
chair_001_11.obj,0,0,0.9993,0.0007,0.0,0.9814,0.0172,0.0014,0.0186,0.0014,726.9644,480.0441,67.046,36.7405,13.0658,1.8249,0.4974,0.0,0.0,0.0
chair_001_12.obj,0,0,0.9993,0.0007,0.0,0.9814,0.0172,0.0014,0.0186,0.0014,726.9648,480.033,67.046,36.7349,13.0675,1.8251,0.499,0.0,0.0,0.0
chair_001_13.obj,0,0,0.9993,0.0007,0.0,0.9814,0.0172,0.0014,0.0186,0.0014,726.971,480.0333,67.046,36.7365,13.0669,1.825,0.4974,0.0,0.0,0.0
chair_001_14.obj,0,0,0.9993,0.0007,0.0,0.9814,0.0172,0.0014,0.0186,0.0014,726.9465,480.0333,67.046,36.7349,13.0675,1.8251,0.498,0.0,0.0,0.0
